,0
0,1.0
1,0.1
2,1.0
3,-0.6
4,0.08
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,0.82
35,1.0
36,1.0
37,0.58
38,0.66
39,-0.5
40,-0.32
41,0.72
42,1.0
43,0.76
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,0.92
50,1.0
51,1.0
52,1.0
53,1.0
54,-0.16
55,-0.1
56,1.0
57,1.0
58,0.69
59,0.64
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,0.98
69,0.88
70,0.66
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,0.58
82,0.66
83,0.99
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,0.98
95,0.98
96,0.98
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,0.98
104,1.0
105,-0.54
106,-0.56
107,-0.54
108,-0.56
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,0.98
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,0.98
134,0.93
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,-0.5
148,-0.32
149,1.0
150,1.0
151,-0.58
152,-0.08
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,0.88
170,0.78
171,1.0
172,1.0
173,-0.22
174,-0.08
175,-0.16
176,-0.1
177,1.0
178,0.98
179,1.0
180,1.0
181,1.0
182,1.0
183,0.62
184,0.14
185,0.98
186,0.8
187,-0.04
188,0.26
189,0.4
190,0.64
191,1.0
192,1.0
193,0.96
194,1.0
195,0.02
196,0.3
197,1.0
198,1.0
199,0.24
200,0.5
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,0.9
212,0.64
213,0.38
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,0.84
225,0.68
226,0.68
227,0.26
228,0.72
229,0.36
230,1.0
231,1.0
232,1.0
233,1.0
234,-0.18
235,-0.04
236,0.69
237,0.64
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,0.98
248,1.0
249,1.0
250,0.66
251,0.9
252,0.83
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,0.96
274,1.0
275,1.0
276,1.0
277,0.82
278,0.4
279,0.98
280,1.0
281,-0.66
282,-0.42
283,1.0
284,1.0
285,0.98
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,0.93
311,1.0
312,1.0
313,1.0
314,1.0
315,1.0
316,1.0
317,1.0
318,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,0.98
325,1.0
326,1.0
327,1.0
328,1.0
329,0.88
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,0.96
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,0.98
351,0.98
352,-0.24
353,0.16
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,0.98
365,1.0
366,1.0
367,1.0
368,1.0
369,1.0
370,1.0
371,1.0
372,1.0
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,1.0
380,-0.66
381,-0.42
382,1.0
383,1.0
384,1.0
385,1.0
